alias,canonical_name,exclude
adeadamson,Adewole S. Adamson,False
adewoleadamson,Adewole S. Adamson,False
andrewknight,Andrew D. Knight,False
andyknight,Andrew D. Knight,False
sameer,Sameer Gupta,False
sameergupta,Sameer Gupta,False
samirgupta,Sameer Gupta,False
SG,Sameer Gupta,False
vernonsondak,Vern Sondak,False
vernsondak,Vern Sondak,False
M KKW,Michael K. K. Wong,False
Michael Wong,Michael K. K. Wong,False
Michael K K Wong,Michael K. K. Wong,False
Michael K. K. Wong,Michael K. K. Wong,False
Kenneth Y Tsai,Ken Tsai,False
Kenneth Tsai,Ken Tsai,False
Ken Tsai,Ken Tsai,False
d237,,True
adewunmiadelaja,Adewunmi O. Adelaja,False
ajaysharma,Ajay N. Sharma,False
christinecimoch,Christine C. Cimoch,False
davidmiller,David M. Miller,False
elizabethbuchbinder,Elizabeth I. Buchbinder,False
elizabethlilley,Elizabeth J. Lilley,False
francescollichio,Frances Collichio,False
howardkaufman,Howard L. Kaufman,False
isaacbrownell,Isaac Brownell,False
jenniferdesimone,Jennifer DeSimone,False
jessicafewkes,Jessica L. Fewkes,False
julianeczapla,Juliane Andrade Czapla,False
kamanehmontazeri,Kamaneh Montazeri,False
karamkhaddour,Karam Khaddour,False
kevinemerick,Kevin S. Emerick,False
kristarubin,Krista M. Rubin,False
larisageskin,Larisa Geskin,False
lauraferris,Laura Ferris,False
laurenoloughlin,Lauren O'Loughlin,False
meghanmooradian,Meghan J. Mooradian,False
mehranyusuf,Mehran Behruj Yusuf,False
minabakhtiar,Mina Bakhtiar,False
mollyyancovitz,Molly Yancovitz,False
nikhilkhushalani,Nikhil Khushalani,False
reeddrews,Reed E. Drews,False
rhodaalani,Rhoda Alani,False
rossmerkin,Ross D. Merkin,False
tatyanasharova,Tatyana Sharova,False
vatchetchekmedyian,Vatche Tchekmedyian,False
