"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max","Identifier?","Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
"record_id","soco_jc_survey","","text","Record ID","","","","","","","","","","","","",""
"who_are_you","soco_jc_survey","Question 1","radio","Which of the following best describes you?","medical_oncologist, Medical Oncologist | medical_dermatologist, Medical Dermatologist | surgical_oncologist, Surgical Oncologist | mohs_surgeon, Mohs Surgeon | radiation_oncologist, Radiation Oncologist | non_clinician_researcher, Non-Clinician Researcher | student_trainee, Student/Trainee | advanced_practice_provider, Advanced Practice Provider | other, Other","","","","","","","","","","","",""
"patients_per_month","soco_jc_survey","Question 2","radio","How many high risk CSCC patients do you see each month?","1_2, 1-2 | 3_5, 3-5 | 6_10, 6-10 | 11_20, 11-20 | greater_than_20, >20 | i_am_a_clinician_but_i_do_not_treat_cscc, I am a clinician but I do not treat CSCC | i_am_not_a_clinician, I am not a clinician","","","","","","","","","","","",""
"used_nivo_ipi","soco_jc_survey","Question 3","radio","Have you ever used Nivo + Ipi in the preoperative setting for high risk resectable CSCC?","yes, Yes | no, No | i_am_a_clinician_but_i_do_not_manage_cscc_patients, I am a clinician but I do not manage CSCC patients | i_am_not_a_clinician, I am not a clinician","","","","","","","","","","","",""
"preferred_preop_agent","soco_jc_survey","Question 4","radio","What is your (or your team's) preferred preoperative agent for high risk resectable CSCC?","cemiplimab, Cemiplimab | pembrolizumab, Pembrolizumab | nivolumab, Nivolumab | nivo_plus_ipi, Nivo plus Ipi | other, Other | i_am_a_clinician_but_i_do_not_manage_cscc_patients, I am a clinician but I do not manage CSCC patients | i_am_not_a_clinician, I am not a clinician","","","","","","","","","","","",""
"doses_before_surgery","soco_jc_survey","Question 5","radio","How many doses do you (or your team) typically give prior to surgery if you choose a neoadjuvant plan?","1, 1 | 2, 2 | 3, 3 | 4, 4 | other, Other | i_am_a_clinician_but_i_do_not_manage_cscc_patients, I am a clinician but I do not manage CSCC patients | i_am_not_a_clinician, I am not a clinician","","","","","","","","","","","",""
"doses_needed_for_benefit","soco_jc_survey","Question 6","radio","In your clinical opinion, how many neoadjuvant doses are actually needed to achieve most of the potential benefit for high risk resectable CSCC, even if this differs from what you typically do in practice?","1, 1 | 2, 2 | 3, 3 | 4, 4 | other, Other | i_am_a_clinician_but_i_do_not_manage_cscc_patients, I am a clinician but I do not manage CSCC patients | i_am_not_a_clinician, I am not a clinician","","","","","","","","","","","",""
"surgery_decision","soco_jc_survey","Question 7","radio","If you embark on a neoadjuvant approach (i.e. start initial mgmt plan with neoadjuvant intent), does your team routinely take the patient to surgery or is that decision based on their response at a pre-surgical evaluation?","routinely_take_to_surgery, Routinely take to surgery | decision_based_on_response_at_pre_surgical_evaluation, Decision based on response at pre-surgical evaluation | i_am_a_clinician_but_i_do_not_manage_cscc_patients, I am a clinician but I do not manage CSCC patients | i_am_not_a_clinician, I am not a clinician","","","","","","","","","","","",""
"indicators_omit_surgery","soco_jc_survey","Question 8","checkbox","Under what clinical circumstances would you feel comfortable considering omission of surgery (with close observation +/- continuing ICI) after frontline immunotherapy for high-risk resectable CSCC?","meaningful_improvement_in_patient_reported_symptoms_e_g_1_pain, Meaningful improvement in patient-reported symptoms (e.g., pain) | visible_decrease_in_tumor_size_on_physical_examination, Visible decrease in tumor size on physical examination | complete_clinical_response_on_physical_examination, Complete clinical response on physical examination | partial_response_on_ct_or_mri, Partial response on CT or MRI | complete_radiologic_response_on_ct_or_mri, Complete radiologic response on CT or MRI | substantial_decrease_in_fdg_pet_metabolic_activity_e_g_1_tlg50_reduction, Substantial decrease in FDG-PET metabolic activity (e.g., ΔTLG50% reduction) | complete_resolution_of_fdg_pet_avidity, Complete resolution of FDG-PET avidity | biopsy_at_4_8_weeks_showing_50_viable_tumor, Biopsy at ~4-8 weeks showing ≤50% viable tumor | biopsy_at_4_8_weeks_showing_10_viable_tumor, Biopsy at ~4-8 weeks showing ≤10% viable tumor | biopsy_at_4_8_weeks_showing_0_viable_tumor, Biopsy at ~4-8 weeks showing 0% viable tumor | none_i_would_not_omit_surgery_outside_a_clinical_trial, None — I would not omit surgery outside a clinical trial | i_am_a_clinician_but_i_do_not_manage_cscc_patients, I am a clinician but I do not manage CSCC patients | i_am_not_a_clinician, I am not a clinician","","","","","","","","","","","",""
"minimum_response_omit_surgery","soco_jc_survey","Question 9","radio","If you were to consider omission of surgery (with close observation) after frontline immunotherapy for high-risk resectable CSCC, what is the *minimum level of response* you would require?","meaningful_symptomatic_improvement_alone, Meaningful symptomatic improvement alone | visible_decrease_in_tumor_size_on_physical_examination, Visible decrease in tumor size on physical examination | complete_clinical_response_on_physical_examination, Complete clinical response on physical examination | partial_radiologic_response_ct_or_mri, Partial radiologic response (CT or MRI) | complete_radiologic_response_ct_or_mri, Complete radiologic response (CT or MRI) | substantial_reduction_in_fdg_pet_metabolic_activity_e_g_1_tlg50_decrease, Substantial reduction in FDG-PET metabolic activity (e.g., ΔTLG50% decrease) | complete_resolution_of_fdg_pet_avidity, Complete resolution of FDG-PET avidity | biopsy_at_4_8_weeks_showing_50_viable_tumor, Biopsy at ~4-8 weeks showing ≤50% viable tumor | biopsy_at_4_8_weeks_showing_10_viable_tumor, Biopsy at ~4-8 weeks showing ≤10% viable tumor | biopsy_at_4_8_weeks_showing_0_viable_tumor, Biopsy at ~4-8 weeks showing 0% viable tumor | i_would_not_consider_omitting_surgery_outside_a_clinical_trial, I would not consider omitting surgery outside a clinical trial | i_am_a_clinician_but_i_do_not_manage_cscc_patients, I am a clinician but I do not manage CSCC patients | i_am_not_a_clinician, I am not a clinician","","","","","","","","","","","",""
"situations_nivo_ipi","soco_jc_survey","Question 10","checkbox","In which of the following clinical situations would you consider using frotline/pre-operative nivolumab plus ipilimumab (rather than PD-1 monotherapy) for a patient with high-risk resectableCSCC or a related squamous malignancy?","locally_advanced_conjunctival_squamous_cell_carcinoma_where_surgical_excision_would_require_orbital_exenteration, Locally advanced conjunctival squamous cell carcinoma where surgical excision would require orbital exenteration | locally_advanced_periorbital_cutaneous_squamous_cell_carcinoma_where_surgery_would_require_orbital_exenteration, Locally advanced periorbital *cutaneous* squamous cell carcinoma where surgery would require orbital exenteration | locally_advanced_cscc_at_another_critical_site_where_surgery_would_be_mutilating_e_g_1_major_loss_of_function_or_disfigurement, Locally advanced CSCC at another critical site where surgery would be mutilating (e.g., major loss of function or disfigurement) | bulky_regional_nodal_cscc_e_g_1_n2_n3_where_cure_is_possible_but_surgery_and_or_radiation_would_carry_very_high_morbidity, Bulky regional nodal CSCC (e.g., N2/N3) where cure is possible but surgery and/or radiation would carry very high morbidity | cscc_with_progression_on_prior_anti_pd_1_monotherapy_1_where_dual_checkpoint_blockade_is_being_considered_as_salvage, CSCC with progression on prior anti–PD-1 monotherapy, where dual checkpoint blockade is being considered as salvage | presence_of_an_indolent_hematologic_malignancy_such_as_cll_that_does_not_currently_require_treatment, Presence of an indolent hematologic malignancy such as CLL that does not currently require treatment | presence_of_a_hematologic_malignancy_such_as_cll_that_is_currently_receiving_active_systemic_treatment, Presence of a hematologic malignancy such as CLL that is currently receiving active systemic treatment | cscc_in_a_solid_organ_transplant_recipient_after_careful_multidisciplinary_discussion, CSCC in a solid-organ transplant recipient after careful multidisciplinary discussion | cscc_in_a_patient_on_low_dose_immunosuppression_for_autoimmune_disease_1_after_risk_benefit_discussion, CSCC in a patient on low-dose immunosuppression for autoimmune disease, after risk–benefit discussion | none_of_the_above_i_would_not_use_nivolumab_plus_ipilimumab_in_these_scenarios, None of the above — I would not use nivolumab plus ipilimumab in these scenarios | i_am_a_clinician_but_i_do_not_manage_cscc_patients, I am a clinician but I do not manage CSCC patients | i_am_not_a_clinician, I am not a clinician","","","","","","","","","","","",""
"barriers_nivo_ipi","soco_jc_survey","Question 11","checkbox","What barriers, if any, prevent you from using Nivo plus Ipi in the preoperative setting?","concerns_about_toxicity_or_tolerability, Concerns about toxicity or tolerability | cost_or_insurance_coverage_concerns, Cost or insurance coverage concerns | uncertainty_about_benefit_versus_risk, Uncertainty about benefit versus risk | not_fda_approved, Not FDA approved | not_recommended_by_guidelines, Not recommended by guidelines | i_have_no_concerns, I have no concerns | i_am_a_clinician_but_i_do_not_manage_cscc_patients, I am a clinician but I do not manage CSCC patients | i_am_not_a_clinician, I am not a clinician","","","","","","","","","","","",""
